id,cn_name,en_name,code,pre,created_at,updated_at
1,北京市,beijing,131,bj,2018-07-23 02:15:27,2018-07-23 02:15:27
2,上海市,shanghai,289,shh,2018-07-23 02:15:27,2018-07-23 02:15:27
3,广州市,guangzhou,257,gzh,2018-07-23 02:15:27,2018-07-23 02:15:27
4,深圳市,shenzhen,340,szh,2018-07-23 02:15:27,2018-07-23 02:15:27
5,重庆市,chongqing,132,chq,2018-07-23 02:15:27,2018-07-23 02:15:27
6,天津市,tianjin,332,tj,2018-07-23 02:15:27,2018-07-23 02:15:27
7,石家庄市,shijiazhuang,150,shjzh,2018-07-23 02:15:27,2018-07-23 02:15:27
8,南京市,nanjing,315,nj,2018-07-23 02:15:27,2018-07-23 02:15:27
9,成都市,chengdu,75,chd,2018-07-23 02:15:27,2018-07-23 02:15:27
10,沈阳市,shenyang,58,shy,2018-07-23 02:15:27,2018-07-23 02:15:27
11,杭州市,hangzhou,179,hzh,2018-07-23 02:15:27,2018-07-23 02:15:27
12,武汉市,wuhan,218,wh,2018-07-23 02:15:27,2018-07-23 02:15:27
13,长沙市,changsha,158,cs,2018-07-23 02:15:27,2018-07-23 02:15:27
14,苏州市,suzhou,224,suz,2018-07-23 02:15:27,2018-07-23 02:15:27
15,大连市,dalian,167,dl,2018-07-23 02:15:27,2018-07-23 02:15:27
16,长春市,changchun,53,chc,2018-07-23 02:15:27,2018-07-23 02:15:27
17,西安市,xian,233,xian,2018-07-23 02:15:27,2018-07-23 02:15:27
18,昆明市,kunming,104,km,2018-07-23 02:15:27,2018-07-23 02:15:27
19,佛山市,foshan,138,fsh,2018-07-23 02:15:27,2018-07-23 02:15:27
20,哈尔滨市,haerbin,48,hrb,2018-07-23 02:15:27,2018-07-23 02:15:27
21,郑州市,zhengzhou,268,zhzh,2018-07-23 02:15:27,2018-07-23 02:15:27
22,宁波市,ningbo,180,nbo,2018-07-23 02:15:27,2018-07-23 02:15:27
23,无锡市,wuxi,317,wuxi,2018-07-23 02:15:27,2018-07-23 02:15:27
24,青岛市,qingdao,236,qd,2018-07-23 02:15:27,2018-07-23 02:15:27
25,南昌市,nanchang,163,nanchang,2018-07-23 02:15:27,2018-07-23 02:15:27
26,福州市,fuzhou,300,fuzhou,2018-07-23 02:15:27,2018-07-23 02:15:27
27,东莞市,dongguan,119,dongguan,2018-07-23 02:15:27,2018-07-23 02:15:27
28,南宁市,nanning,261,nanning,2018-07-23 02:15:27,2018-07-23 02:15:27
29,合肥市,hefei,127,hefei,2018-07-23 02:15:27,2018-07-23 02:15:27
30,厦门市,xiamen,194,xiamen,2018-07-23 02:15:27,2018-07-23 02:15:27
31,香港特别行政区,hongkong,2912,hk,2018-07-23 02:15:27,2018-07-23 02:15:27
32,台北市,taibei,9002,shh,2018-07-23 02:15:27,2018-07-23 02:15:27
33,高雄市,gaoxiong,9019,cs,2018-07-23 02:15:27,2018-07-23 02:15:27
